time,protocol,source,destination,hostname,length,info,service
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,299,Port: 56870 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,159,Port: 56872 -> 443,
2025-06-15 20:01:33,udp,192.168.4.174,192.168.254.254,gateway.home,86,Port: 61058 -> 53,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,445,Port: 56871 -> 443,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,78,Port: 443 -> 56870,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,117,Port: 443 -> 56872,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,66,Port: 56872 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,1514,Port: 56872 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,209,Port: 56872 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,300,Port: 56872 -> 443,
2025-06-15 20:01:33,udp,192.168.254.254,192.168.4.174,,164,Port: 53 -> 61058,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,78,Port: 443 -> 56871,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56872,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,935,Port: 443 -> 56870,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,1514,Port: 443 -> 56871,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,444,Port: 443 -> 56871,
2025-06-15 20:01:33,udp,192.168.4.174,192.168.254.254,gateway.home,88,Port: 63173 -> 53,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,300,Port: 56872 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,66,Port: 56870 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,66,Port: 56871 -> 443,
2025-06-15 20:01:33,udp,192.168.254.254,192.168.4.174,,114,Port: 53 -> 63173,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56872,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,78,Port: 443 -> 56872,
2025-06-15 20:01:33,tcp,17.248.201.73,192.168.4.174,,933,Port: 443 -> 56872,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,97,Port: 56870 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,66,Port: 56872 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,66,Port: 56870 -> 443,
2025-06-15 20:01:33,tcp,192.168.4.174,17.248.201.73,,97,Port: 56872 -> 443,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,97,Port: 56871 -> 443,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,66,Port: 56872 -> 443,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,66,Port: 56871 -> 443,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56871,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56871,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,66,Port: 56871 -> 443,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56870,
2025-06-15 20:01:34,tcp,17.248.201.73,192.168.4.174,,66,Port: 443 -> 56870,
2025-06-15 20:01:34,tcp,192.168.4.174,17.248.201.73,,66,Port: 56870 -> 443,
